Goal ID,Match ID,Player ID,Team ID,Minute Score
59562428,9990399,146106,592,13
15548194,9784827,146803,842,72
34941188,5822675,149501,450,11
83572623,4649739,149486,887,78
50845161,9993527,157387,104,29
75158774,6372676,160518,608,43
84328666,5158414,159132,189,87
46389485,8217203,171683,274,89
52229846,4657686,149486,887,72
29565351,9990248,148702,202,80
27620815,5485497,154150,363,84
41129755,7196567,156820,257,33
53209404,6957383,150651,202,87
95702327,4662947,157116,656,51
48236539,3237150,146673,285,11
22694056,7469909,161771,719,63
24183797,8778593,164147,496,89
37960289,5182348,164269,649,40
27015338,6394908,155106,189,25
77468049,1685892,161283,649,29
40149154,4645292,152089,120,89
20783029,2834426,159105,536,15
10827088,9825634,147102,695,79
76042984,4692198,151668,645,77
58500113,4704969,145501,543,88
85908526,1236882,146940,285,66
38766481,3923531,147190,799,81
90264935,2573739,154355,212,48
32098199,2457710,147601,177,21
73249193,2094560,146452,170,16
22651166,2227086,156314,315,77
72519012,7700774,145843,669,44
29247052,7008186,147670,198,4
80472850,1401174,160807,212,64
16180375,1351245,171683,274,13
78090312,1954922,147538,428,61
88305770,8288206,156117,487,82
61475034,6735309,157116,656,46
56905020,6464134,157575,104,8
59543828,5567816,148044,321,73
70645008,8696920,153053,269,61
25636698,3719824,149039,327,79
31844688,2925115,147202,450,80
69418059,8289280,160492,421,60
92651544,2823067,155708,635,74
11615229,4269928,147766,508,80
73105000,1463968,146302,155,59
57131026,8905450,155935,487,21
80823663,2097924,148157,663,82
18855630,8162203,150376,581,22
99795926,9266631,151173,196,64
93713161,3604150,145497,340,56
64069176,7647459,158284,405,67
27579127,9406171,147157,695,70
89139587,2568494,153122,887,2
30403104,6070366,147986,842,40
21057396,7418141,145905,130,51
48591739,2210897,155025,109,87
29556913,7271514,159412,237,90
99626492,1624462,157862,607,19
97744085,4589844,151339,221,74
50929959,3694184,148044,321,83
55096860,8374395,160847,536,33
79774865,7674399,165712,719,78
11365207,1728521,148155,364,89
60349297,2481293,151622,872,27
12409249,6836108,148902,364,40
78587379,3202122,145409,438,4
16015740,6740830,152889,536,56
93039023,4880193,148199,888,83
95619704,3295875,148748,613,13
64686708,3087982,162198,172,41
94095439,8765812,171192,274,71
71422647,6566636,156376,686,20
28237419,9569986,148048,327,65
66146764,7903157,171683,386,31
79576137,2005739,150367,321,87
81228102,6599228,147805,198,73
95753489,9295667,162425,719,16
31171979,8072664,156799,257,68
52509809,8885535,161712,776,43
19529256,9183226,156210,487,80
25795442,8126777,152180,773,56
46748738,6735134,160956,220,88
90916288,3769176,151952,552,88
66897087,9410495,145883,501,57
14189746,1461935,150757,600,83
51768152,3252013,152387,257,16
53591864,7922310,149908,140,26
40307116,7678905,149198,888,82
73985428,4185085,159764,879,72
29096590,1992797,145843,669,73
76915954,8427812,152105,120,13
88014552,7792224,152415,810,71
35484983,7068723,145471,438,84
76578796,2499530,155375,794,50
81369042,6280123,146803,842,60
27756896,1689869,157963,766,69
96401846,3349576,160518,608,9
32098998,6333931,153012,315,86
98278176,5743295,153308,572,72
39528098,3286315,147724,707,58
99563873,5604154,147093,130,55
80351294,3976436,145596,428,49
49359483,5177095,163555,172,48
67648674,8198577,151391,887,89
71234874,4063245,154188,346,58
35753117,9770833,154587,656,72
74886764,1913267,148261,159,85
96741490,1129557,145397,501,19
97956142,5872812,154722,600,88
46129475,5620357,155265,257,12
98347705,5103914,153671,257,43
88967596,4774259,160408,178,82
77132649,5077216,151263,299,73
96325098,4329447,163349,649,73
44608125,8392951,148039,663,66
86455327,6381817,148628,573,23
67588728,8770857,150433,635,68
28060607,1682888,151483,363,44
87609905,8230834,155219,773,71
56894807,3957297,160967,536,12
47391938,3313638,158407,399,4
84041283,2481293,151784,294,73
32339725,2481485,148044,321,4
95747174,1497596,151469,624,74
50803973,7797632,150635,538,89
53070458,8118052,153219,573,82
76942029,1867358,154644,212,81
14138633,8003995,149561,392,27
76323253,4915938,152768,874,54
74096296,8276039,146388,597,25
99851290,9796065,149198,888,81
27302828,1335596,162006,189,72
40582282,5908573,145883,501,64
22135029,8465278,156864,405,70
94287418,1551735,152022,391,53
39642738,1780022,151245,346,13
93883866,2210106,148524,327,16
86310295,5816711,152708,697,49
84093990,9972683,153684,122,56
19430759,1327715,150712,232,56
93661356,1927172,148578,864,25
40351697,9465420,154286,538,68
97747436,7074205,161695,649,81
21997810,8426184,145725,480,78
40248478,7201641,148066,856,90
46911228,3970018,159498,608,26
47391286,5776982,145484,480,76
10050938,3249114,147053,678,39
11982303,4776432,149344,329,15
15826264,4086258,156799,257,39
65247611,7415978,147139,130,84
17101923,9172879,150983,645,67
93193559,8454887,150072,232,34
22481571,5082762,155363,412,51
54900248,5275846,155708,635,62
49747535,3719855,150858,573,5
56974532,3896601,149039,327,10
19335650,6436111,163763,496,45
51772221,4070742,157688,405,73
28053208,3859826,154910,794,12
97488417,3568542,161534,189,32
80977331,8185637,152420,773,13
29478670,8324505,145506,669,75
54794074,3550750,161767,776,13
58487672,2452286,157387,104,11
14780880,6441057,145957,330,51
51275689,9296213,154642,686,19
79609635,9523555,149925,299,46
68383240,4354326,155173,386,71
66722552,9321402,151245,346,13
52200775,1827961,156507,122,5
94735094,1144336,157151,768,46
90628334,4582221,155865,225,60
91293242,2081737,156235,109,35
93039182,9565272,146492,543,64
19643564,9846295,151687,552,60
40375861,1873487,148159,758,36
12205757,5047588,155933,385,68
46823718,2481293,151995,872,31
54316965,1408781,149677,770,70
44818435,8463771,156799,257,40
27420262,7742774,157042,385,88
38814853,6608863,147540,198,8
54668209,6217032,148382,159,36
88620003,8817982,153525,707,37
65599865,4113019,149788,245,20
29050549,8734281,159845,189,54
15864903,2972825,151465,552,74
96311795,4426860,150516,770,30
29137739,7777471,160227,559,85
57234086,5777498,145327,330,65
69079096,2542326,155363,412,13
84842168,2510903,151918,386,26
75367538,1900488,161290,421,40
97442839,4963310,150609,392,63
59769127,9961569,147789,428,73
29963887,8211361,146013,669,24
76241877,5383558,149454,799,58
80229212,3187153,157251,519,73
35768859,1624350,163170,172,75
32919415,2539935,146549,327,81
39022834,1414832,161512,220,11
73781393,4944622,150524,697,72
97738154,4134736,154677,245,51
77539352,6347352,145684,501,88
57825934,2993589,153395,120,86
59378530,6816611,151332,847,27
81871708,7223033,152862,202,89
58832941,6298445,158932,794,87
77102259,4193383,150386,409,54
